,id,title,categories,abstract,doi,created,updated,authors,pdf_url
0,1703.10049,autonomous recharging and flight mission planning for battery-operated   autonomous drones,cs.ro cs.ds,"unmanned aerial vehicles (uavs), commonly known as drones, are being increasingly deployed throughout the globe as a means to streamline monitoring, inspection, mapping, and logistic routines. when dispatched on autonomous missions, drones require an intelligent decision-making system for trajectory planning and tour optimization. given the limited capacity of their onboard batteries, a key design challenge is to ensure the underlying algorithms can efficiently optimize the mission objectives along with recharging operations during long-haul flights. with this in view, the present work undertakes a comprehensive study on automated tour management systems for an energy-constrained drone: (1) we construct a machine learning model that estimates the energy expenditure of typical multi-rotor drones while accounting for real-world aspects and extrinsic meteorological factors. (2) leveraging this model, the joint program of flight mission planning and recharging optimization is formulated as a multi-criteria asymmetric traveling salesman problem (atsp), wherein a drone seeks for the time-optimal energy-feasible tour that visits all the target sites and refuels whenever necessary. (3) we devise an efficient approximation algorithm with provable worst-case performance guarantees and implement it in a drone management system, which supports real-time flight path tracking and re-computation in dynamic environments. (4) the effectiveness and practicality of the proposed approach are validated through extensive numerical simulations as well as real-world experiments.",10.1109/tase.2022.3175565,2017-03-29,2022-04-19,"['rashid alyassi', 'majid khonji', 'areg karapetyan', 'sid chi-kin chau', 'khaled elbassioni', 'chien-ming tseng']",https://arxiv.org/pdf/1703.10049.pdf
1,1807.07889,"submodular maximization with nearly optimal approximation, adaptivity   and query complexity",cs.ds,"submodular optimization generalizes many classic problems in combinatorial optimization and has recently found a wide range of applications in machine learning (e.g., feature engineering and active learning). for many large-scale optimization problems, we are often concerned with the adaptivity complexity of an algorithm, which quantifies the number of sequential rounds where polynomially-many independent function evaluations can be executed in parallel. while low adaptivity is ideal, it is not sufficient for a distributed algorithm to be efficient, since in many practical applications of submodular optimization the number of function evaluations becomes prohibitively expensive. motivated by these applications, we study the adaptivity and query complexity of adaptive submodular optimization.   our main result is a distributed algorithm for maximizing a monotone submodular function with cardinality constraint $k$ that achieves a $(1-1/e-\varepsilon)$-approximation in expectation. this algorithm runs in $o(\log(n))$ adaptive rounds and makes $o(n)$ calls to the function evaluation oracle in expectation. the approximation guarantee and query complexity are optimal, and the adaptivity is nearly optimal. moreover, the number of queries is substantially less than in previous works. last, we extend our results to the submodular cover problem to demonstrate the generality of our algorithm and techniques.",10.1137/1.9781611975482.17,2018-07-20,2023-04-07,"['matthew fahrbach', 'vahab mirrokni', 'morteza zadimoghaddam']",https://arxiv.org/pdf/1807.07889.pdf
2,1808.06932,non-monotone submodular maximization with nearly optimal adaptivity and   query complexity,cs.ds,"submodular maximization is a general optimization problem with a wide range of applications in machine learning (e.g., active learning, clustering, and feature selection). in large-scale optimization, the parallel running time of an algorithm is governed by its adaptivity, which measures the number of sequential rounds needed if the algorithm can execute polynomially-many independent oracle queries in parallel. while low adaptivity is ideal, it is not sufficient for an algorithm to be efficient in practice -- there are many applications of distributed submodular optimization where the number of function evaluations becomes prohibitively expensive. motivated by these applications, we study the adaptivity and query complexity of submodular maximization. in this paper, we give the first constant-factor approximation algorithm for maximizing a non-monotone submodular function subject to a cardinality constraint $k$ that runs in $o(\log(n))$ adaptive rounds and makes $o(n \log(k))$ oracle queries in expectation. in our empirical study, we use three real-world applications to compare our algorithm with several benchmarks for non-monotone submodular maximization. the results demonstrate that our algorithm finds competitive solutions using significantly fewer rounds and queries.",,2018-08-19,2023-04-07,"['matthew fahrbach', 'vahab mirrokni', 'morteza zadimoghaddam']",https://arxiv.org/pdf/1808.06932.pdf
3,1811.00915,convolutional neural networks for epileptic seizure prediction,cs.lg q-bio.nc stat.ml,"epilepsy is the most common neurological disorder and an accurate forecast of seizures would help to overcome the patient's uncertainty and helplessness. in this contribution, we present and discuss a novel methodology for the classification of intracranial electroencephalography (ieeg) for seizure prediction. contrary to previous approaches, we categorically refrain from an extraction of hand-crafted features and use a convolutional neural network (cnn) topology instead for both the determination of suitable signal characteristics and the binary classification of preictal and interictal segments. three different models have been evaluated on public datasets with long-term recordings from four dogs and three patients. overall, our findings demonstrate the general applicability. in this work we discuss the strengths and limitations of our methodology.",10.1109/bibm.2018.8621225,2018-11-02,2023-04-11,"['matthias eberlein', 'raphael hildebrand', 'ronald tetzlaff', 'nico hoffmann', 'levin kuhlmann', 'benjamin brinkmann', 'jens müller']",https://arxiv.org/pdf/1811.00915.pdf
4,1911.09660,estimating uncertainty of earthquake rupture using bayesian neural   network,stat.ml cs.lg physics.geo-ph,"bayesian neural networks (bnn) are the probabilistic model that combines the strengths of both neural network (nn) and stochastic processes. as a result, bnn can combat overfitting and perform well in applications where data is limited. earthquake rupture study is such a problem where data is insufficient, and scientists have to rely on many trial and error numerical or physical models. lack of resources and computational expenses, often, it becomes hard to determine the reasons behind the earthquake rupture. in this work, a bnn has been used (1) to combat the small data problem and (2) to find out the parameter combinations responsible for earthquake rupture and (3) to estimate the uncertainty associated with earthquake rupture. two thousand rupture simulations are used to train and test the model. a simple 2d rupture geometry is considered where the fault has a gaussian geometric heterogeneity at the center, and eight parameters vary in each simulation. the test f1-score of bnn (0.8334), which is 2.34% higher than plain nn score. results show that the parameters of rupture propagation have higher uncertainty than the rupture arrest. normal stresses play a vital role in determining rupture propagation and are also the highest source of uncertainty, followed by the dynamic friction coefficient. shear stress has a moderate role, whereas the geometric features such as the width and height of the fault are least significant and uncertain.",,2019-11-21,2023-04-11,"['sabber ahamed', 'md mesbah uddin']",https://arxiv.org/pdf/1911.09660.pdf
5,2002.07920,block switching: a stochastic approach for deep learning security,cs.lg cs.cv,"recent study of adversarial attacks has revealed the vulnerability of modern deep learning models. that is, subtly crafted perturbations of the input can make a trained network with high accuracy produce arbitrary incorrect predictions, while maintain imperceptible to human vision system. in this paper, we introduce block switching (bs), a defense strategy against adversarial attacks based on stochasticity. bs replaces a block of model layers with multiple parallel channels, and the active channel is randomly assigned in the run time hence unpredictable to the adversary. we show empirically that bs leads to a more dispersed input gradient distribution and superior defense effectiveness compared with other stochastic defenses such as stochastic activation pruning (sap). compared to other defenses, bs is also characterized by the following features: (i) bs causes less test accuracy drop; (ii) bs is attack-independent and (iii) bs is compatible with other defenses and can be used jointly with others.",10.47852/bonviewjcce2202320,2020-02-18,,"['xiao wang', 'siyue wang', 'pin-yu chen', 'xue lin', 'peter chin']",https://arxiv.org/pdf/2002.07920.pdf
6,2003.00120,improving certified robustness via statistical learning with logical   reasoning,cs.lg cs.cr stat.ml,"intensive algorithmic efforts have been made to enable the rapid improvements of certificated robustness for complex ml models recently. however, current robustness certification methods are only able to certify under a limited perturbation radius. given that existing pure data-driven statistical approaches have reached a bottleneck, in this paper, we propose to integrate statistical ml models with knowledge (expressed as logical rules) as a reasoning component using markov logic networks (mln, so as to further improve the overall certified robustness. this opens new research questions about certifying the robustness of such a paradigm, especially the reasoning component (e.g., mln). as the first step towards understanding these questions, we first prove that the computational complexity of certifying the robustness of mln is #p-hard. guided by this hardness result, we then derive the first certified robustness bound for mln by carefully analyzing different model regimes. finally, we conduct extensive experiments on five datasets including both high-dimensional images and natural language texts, and we show that the certified robustness with knowledge-based logical reasoning indeed significantly outperforms that of the state-of-the-arts.",,2020-02-28,2023-04-12,"['zhuolin yang', 'zhikuan zhao', 'boxin wang', 'jiawei zhang', 'linyi li', 'hengzhi pei', 'bojan karlas', 'ji liu', 'heng guo', 'ce zhang', 'bo li']",https://arxiv.org/pdf/2003.00120.pdf
7,2003.14105,learning cross-domain semantic-visual relationships for transductive   zero-shot learning,cs.cv,"zero-shot learning (zsl) learns models for recognizing new classes. one of the main challenges in zsl is the domain discrepancy caused by the category inconsistency between training and testing data. domain adaptation is the most intuitive way to address this challenge. however, existing domain adaptation techniques cannot be directly applied into zsl due to the disjoint label space between source and target domains. this work proposes the transferrable semantic-visual relation (tsvr) approach towards transductive zsl. tsvr redefines image recognition as predicting the similarity/dissimilarity labels for semantic-visual fusions consisting of class attributes and visual features. after the above transformation, the source and target domains can have the same label space, which hence enables to quantify domain discrepancy. for the redefined problem, the number of similar semantic-visual pairs is significantly smaller than that of dissimilar ones. to this end, we further propose to use domain-specific batch normalization to align the domain discrepancy.",,2020-03-31,2023-04-08,"['fengmao lv', 'jianyang zhang', 'guowu yang', 'lei feng', 'yufeng yu', 'lixin duan']",https://arxiv.org/pdf/2003.14105.pdf
8,2005.04843,semi-supervised hypergraph node classification on hypergraph line   expansion,cs.lg cs.si stat.ml,"previous hypergraph expansions are solely carried out on either vertex level or hyperedge level, thereby missing the symmetric nature of data co-occurrence, and resulting in information loss. to address the problem, this paper treats vertices and hyperedges equally and proposes a new hypergraph formulation named the \emph{line expansion (le)} for hypergraphs learning. the new expansion bijectively induces a homogeneous structure from the hypergraph by treating vertex-hyperedge pairs as ""line nodes"". by reducing the hypergraph to a simple graph, the proposed \emph{line expansion} makes existing graph learning algorithms compatible with the higher-order structure and has been proven as a unifying framework for various hypergraph expansions. we evaluate the proposed line expansion on five hypergraph datasets, the results show that our method beats sota baselines by a significant margin.",,2020-05-10,2023-04-13,"['chaoqi yang', 'ruijie wang', 'shuochao yao', 'tarek abdelzaher']",https://arxiv.org/pdf/2005.04843.pdf
9,2006.01244,the power of factorial powers: new parameter settings for (stochastic)   optimization,cs.lg math.oc stat.ml,"the convergence rates for convex and non-convex optimization methods depend on the choice of a host of constants, including step sizes, lyapunov function constants and momentum constants. in this work we propose the use of factorial powers as a flexible tool for defining constants that appear in convergence proofs. we list a number of remarkable properties that these sequences enjoy, and show how they can be applied to convergence proofs to simplify or improve the convergence rates of the momentum method, accelerated gradient and the stochastic variance reduced method (svrg).",,2020-06-01,2023-04-11,"['aaron defazio', 'robert m. gower']",https://arxiv.org/pdf/2006.01244.pdf
